Thời gian,Tiêu đề,URL,Nội dung,positive,neutral,negative,normalized_date,dominant_sentiment
2025-10-15 00:00:00,GAS: Nghị quyết HĐQT chấp thuận nội dung sửa đổi Hợp đồng,https://cafef.vn/du-lieu/GAS-2318300/gas-nghi-quyet-hdqt-chap-thuan-noi-dung-sua-doi-hop-dong.chn,,0.002826846,0.995831072,0.001342129,2025-10-15,neutral
2025-10-07 07:52:00,"'Đế chế' của ông Phạm Nhật Vượng chỉ có 37,3% nhân sự nữ nhưng các nữ tướng chiếm 59%, ngân hàng là 'thánh địa' của giới nữ ngoại trừ Sacombank",https://cafef.vn/de-che-cua-ong-pham-nhat-vuong-chi-co-373-nhan-su-nu-nhung-cac-nu-tuong-chiem-59-ngan-hang-la-thanh-dia-cua-gioi-nu-ngoai-tru-sacombank-188251007075236181.chn,"Theo Báo cáo thường niên 2024 của 21 doanh nghiệp có giá trị vốn hoá lớn nhất thị trường chứng khoán Việt Nam tại thời điểm 6/10/2025 (bỏ qua ACV và Viettel Global do không công bố cơ cấu lao động), trên tổng quy mô hơn 576.000 nhân sự, cán cân giới tính vẫn nghiêng về phía nam giới khi có 11/21 doanh nghiệp có tỷ lệ nhân sự nam ‘áp đảo’ so với nhân sự nữ, đặc biệt trong các lĩnh vực công nghiệp nặng và công nghệ.
Điển hình như Tập đoàn Hòa Phát (HPG) chỉ có chưa đầy 12% nhân sự là nữ giới, PV GAS (GAS) có 21% hay Vinamilk cũng chỉ có 24,8% nhân sự là nữ... do đặc thù công việc có yêu cầu về sức khỏe thể chất, điều kiện làm việc khắc nghiệt, môi trường làm việc ngoài trời…
Trong khi đó, khối ngân hàng là nơi có đông nhân sự nữ nhất, với tỷ lệ trên dưới 60%. Ngân hàng duy nhất có tỷ lệ nữ dưới 50% là Sacombank (STB) với 48,28%.
Tuy nhiên, khi đi sâu vào cơ cấu lãnh đạo, một ""nghịch lý"" thú vị đã xuất hiện, đặc biệt tại những tập đoàn đa ngành lớn nhất.
Tại Vingroup (VIC), dù lao động nữ chỉ chiếm 37,3% tổng số nhân sự, nhưng lại có đến 59% các vị trí quản lý tại tập đoàn này do phụ nữ nắm giữ. Câu chuyện ""nữ quyền"" tại Vingroup không chỉ thể hiện qua các con số mà còn là một phần trong triết lý dùng người của nhà sáng lập. Các vị trí lãnh đạo cao cấp nhất quanh Chủ tịch Phạm Nhật Vượng, từ tài chính, kinh doanh đến pháp lý, phần lớn đều là các ""nữ tướng"".
Lý giải về điều này, ông Vượng từng chia sẻ trong một buổi nói chuyện trước đây rằng phụ nữ có những thế mạnh đặc biệt ở vai trò quản trị. Ông cho rằng: ""Ở các cương vị như các cấp phó hay các nhà quản trị thì rõ ràng nữ tốt hơn... Ví dụ tài chính kế toán, pháp lý kinh doanh, là thế mạnh của phụ nữ. Cho nên đương nhiên những vị trí đó bao giờ chúng tôi cũng bổ nhiệm phụ nữ.""
Triết lý này đã biến Vingroup thành một ví dụ điển hình cho việc trao quyền cho các lãnh đạo nữ, bất kể tỷ lệ của họ trong tổng thể lực lượng lao động.
Nhưng điều này không diễn ra tại Vinhomes - công ty con phụ trách mảng bất động sản của Vingroup. Vinhomes có 34,2% lao động là nữ, và cũng chỉ có tỷ lệ nữ quản lý là 28,7%.
Ngược lại với Vingroup, tại Masan Group (MSN), dù tỷ lệ nhân sự nữ tới 62,4% nhưng tỷ lệ nữ quản lý chỉ chiếm 43%. Trong khi đó, tại Masan Consumer chứng kiến ‘nữ quyền’ lớn hơn khi tỷ lệ nhân sự nữ chỉ 35,3% nhưng nữ quản lý chiếm gần 43% số cán bộ quản lý.
Về phía các ngân hàng, Sacombank không chỉ có tỷ lệ nữ nhân sự thấp hơn hẳn các ngân hàng khác (dưới 50%) mà tỷ lệ nữ quản lý tại ngân hàng này cũng thấp nhất: 24,1% - con số này còn thấp hơn tại các công ty như Vinamilk, Vinhomes.
Một số ngân hàng có tỷ lệ nữ nhân sự cao, nhưng nữ quản lý lại thấp dưới 50% là LPBank (32,8%), MB (45%) và HDBank (43%).  Điều này cho thấy mặc dù ngành tài chính - ngân hàng thu hút một lượng lớn nhân sự nữ, con đường tiến tới các vị trí lãnh đạo cao nhất của họ vẫn còn nhiều thách thức hơn so với các đồng nghiệp nam.
Nhìn rộng ra toàn thị trường, trong báo cáo ""Giới và thị trường lao động ở Việt Nam"" của Tổ chức Lao động Quốc tế (ILO) năm 2021 cho biết, Việt Nam có tỷ lệ phụ nữ tham gia lực lượng lao động rất cao so với thế giới (trên 70%).
Tuy nhiên, phụ nữ Việt Nam vẫn phải đối mặt với sự bất bình đẳng về cơ hội và gánh vác ""trách nhiệm kép"" khi phải dành thời gian cho công việc không lương tại nhà nhiều hơn nam giới gấp đôi. Điều này ảnh hưởng trực tiếp đến sự phát triển nghề nghiệp của họ. ILO nhấn mạnh rằng dù phụ nữ chiếm gần một nửa lực lượng lao động, họ chỉ đảm nhận khoảng 1/4 các vị trí lãnh đạo, quản lý chung trên toàn thị trường.",0.112849189,0.877544039,0.009606777,2025-07-10,neutral
2025-10-07 00:00:00,"GAS: 20.10.2025, giao dịch 70.276.837 cp niêm yết bổ sung",https://cafef.vn/du-lieu/GAS-2312526/gas-20102025-giao-dich-70276837-cp-niem-yet-bo-sung.chn,,0.061047498,0.938352406,0.000600109,2025-07-10,neutral
2025-10-05 15:02:00,Chế độ phúc lợi nghỉ thai sản cho nhân viên PV Gas ra sao?,https://cafef.vn/che-do-phuc-loi-nghi-thai-san-cho-nhan-vien-pv-gas-ra-sao-188251005150232396.chn,"Theo thông tin từ báo cáo phát triển vững năm 2024 của Tổng Công ty Khí Việt Nam (PV Gas - mã CK: GAS), năm 2024, PV Gas có 41  nhân viên nghỉ thai sản, giảm 33% so với năm 2023. Trong đó, có 34 nhân viên nam và 7 nhân viên nữ.
Tổng số cán bộ công nhân viên tại công ty mẹ và các chi nhánh tại ngày 31/12/2024 là 1.376 người, trong đó, có 1.092 nhân viên nam và 284 nhân viên nữ.
PV GAS khẳng định luôn đảm bảo đầy đủ quyền lợi về chế độ nghỉ thai sản cho tất cả cán bộ công nhân viên theo quy định của pháp luật hiện hành. Bên cạnh đó, công ty cũng cam kết tạo điều kiện thuận lợi để nhân viên quay trở lại làm việc sau khi kết thúc kỳ nghỉ.
Chế độ phúc lợi toàn diện của PV GAS được quy định rõ trong Thỏa ước lao động tập thể và Nội quy lao động, bao gồm các chế độ như bảo hiểm xã hội, bảo hiểm y tế, chăm sóc sức khỏe, và các phúc lợi đời sống khác. Các phúc lợi dành cho nhân viên nữ cũng được chú trọng với quà tặng ngày Quốc tế Phụ nữ, Phụ nữ Việt Nam; trợ cấp thai sản, tính thời gian thi đua khen thưởng trong thời gian nghỉ thai sản, khám sức khỏe chuyên khoa phụ sản…
PV GAS cũng chú trọng đến việc tạo cơ hội phát triển nghề nghiệp cho nữ lao động, đặc biệt trong các lĩnh vực hỗ trợ kỹ thuật, quản lý, an toàn lao động và các công tác văn phòng. Công ty đang triển khai các chiến lược thu hút nhân tài nữ vào các vị trí lãnh đạo và chuyên môn, với cam kết phát triển nguồn nhân lực bền vững, đa dạng và bình đẳng giới.
Tại PV GAS, tỷ lệ nhân sự tập trung nhiều ở độ tuổi từ 30 - 50 tuổi (71,4%), sau đó là độ tuổi trên 50 (18,6%) và thấp nhất là độ tuổi dưới 30 (10%).
Điều này xuất phát từ yêu cầu cao về kinh nghiệm trong ngành dầu khí. Các vị trí chủ chốt đòi hỏi kỹ năng chuyên môn vững vàng, sự hiểu biết sâu sắc về các quy trình phức tạp và khả năng xử lý tình huống trong môi trường khắc nghiệt.
Đây cũng là lí do khiến công ty ưu tiên tuyển dụng và giữ lại những nhân viên có kinh nghiệm lâu năm, đảm bảo hiệu quả công việc và sự ổn định trong hoạt động.
Tuy nhiên, trong chiến lược phát triển nhân sự dài hạn, PV GAS cũng chú trọng tuyển dụng và đào tạo các cán bộ trẻ, với độ tuổi chủ yếu từ 30 tuổi trở xuống, nhằm xây dựng một thế hệ nhân sự kế thừa, trẻ trung, năng động, đồng thời giữ vững tính kế thừa và phát triển bền vững của công ty.",0.853985172,0.145080896,0.000933921,2025-05-10,positive
2025-10-02 00:00:00,PGS: Nghị quyết HĐQT thông qua nội dung hợp đồng mua bán vỏ chai LPG cũ với PVGAS,https://cafef.vn/du-lieu/GAS-2308418/pgs-nghi-quyet-hdqt-thong-qua-noi-dung-hop-dong-mua-ban-vo-chai-lpg-cu-voi-pvgas.chn,,0.001642984,0.222961903,0.775395036,2025-02-10,negative
2025-10-02 00:00:00,GAS: Thông báo thay đổi mẫu dấu công ty,https://cafef.vn/du-lieu/GAS-2309259/gas-thong-bao-thay-doi-mau-dau-cong-ty.chn,,0.117733233,0.039680976,0.842585683,2025-02-10,negative
2025-09-30 00:00:00,"GAS: 1.10.2025, niêm yết bổ sung 70.276.837 cp",https://cafef.vn/du-lieu/GAS-2307514/gas-1102025-niem-yet-bo-sung-70276837-cp.chn,,0.048959773,0.950436115,0.000604081,2025-09-30,neutral
2025-09-29 00:00:00,GAS: Nghị quyết HĐQT chấp thuận nội dung chính của hợp đồng mua bán khí năm 2025 giữa PV GAS và PVFCCo,https://cafef.vn/du-lieu/GAS-2306519/gas-nghi-quyet-hdqt-chap-thuan-noi-dung-chinh-cua-hop-dong-mua-ban-khi-nam-2025-giua-pv-gas-va-pvfcco.chn,,0.00042364,0.998205185,0.001371125,2025-09-29,neutral
2025-09-22 13:42:00,PV GAS được chấp thuận đầu tư dự án Kho LNG Bắc Trung bộ 26.700 tỷ đồng tại Hà Tĩnh,https://cafef.vn/pv-gas-duoc-chap-thuan-dau-tu-du-an-kho-lng-bac-trung-bo-26700-ty-dong-tai-ha-tinh-18825092213391668.chn,"UBND tỉnh Hà Tĩnh vừa ban hành Quyết định số 41/QĐ-UBND về việc chấp thuận chủ trương đầu tư, đồng thời chấp thuận nhà đầu tư dự án Kho LNG Bắc Trung bộ (Kho LNG Vũng Áng) tại phường Hoành Sơn, tỉnh Hà Tĩnh. Chủ đầu tư dự án này là Tổng công ty Khí Việt Nam (PV GAS).
Dự án Kho khí thiên nhiên hóa lỏng (LNG) Bắc Trung bộ có mục tiêu cung cấp LNG cho các nhà máy nhiệt điện theo Quy hoạch điện VIII điều chỉnh (Quảng Trạch 2, Vũng Áng 3, Quảng Trạch 3...) và các hộ tiêu thụ công nghiệp khác trong khu vực.
Vị trí đầu tư dự án Kho LNG Bắc Trung Bộ tại KKT Vũng Áng, Hà Tĩnh.
Dự án dự kiến sử dụng khoảng 53ha đất liền và 426ha mặt nước. Tổng vốn đầu tư khoảng hơn 26.700 tỷ đồng , trong đó vốn góp của chủ sở hữu là 8.000 tỷ đồng; vốn vay và huy động khác là 18.700 tỷ đồng.

Dự án chia làm 2 giai đoạn:

Giai đoạn 1 (năm 2029-2030): 1-3 triệu tấn LNG/năm.

Giai đoạn 2 (sau năm 2030): Nghiên cứu mở rộng nâng công suất theo quy hoạch được duyệt và nhu cầu thị trường.

Thời hạn hoạt động dự án là 35 năm (kể từ ngày có quyết định giao đất, cho thuê đất). Còn tiến độ thực hiện là hoàn thành toàn bộ dự án đi vào hoạt động trong quý 4/2029.
Dự án Kho LNG Bắc Trung bộ dự kiến khi đi vào hoạt động sẽ giải quyết số lượng lớn lao động và tăng thu ngân sách cho địa phương, góp phần tăng trưởng, chuyển dịch cơ cấu kinh tế của địa phương theo hướng tăng dần tỷ trọng công nghiệp - dịch vụ và cơ cấu lao động.
Một góc của Khu kinh tế Vũng Áng, Hà Tĩnh.
Kho LNG Vũng Áng được xác định là một mắt xích quan trọng trong chiến lược phát triển hạ tầng LNG trải dài từ Bắc – Trung – Nam của PV Gas.
Trước đó, doanh nghiệp đã vận hành Kho LNG Thị Vải (Bà Rịa – Vũng Tàu) với tổng vốn gần 7.500 tỷ đồng, công suất giai đoạn 1 đạt 1 triệu tấn/năm.
Bên cạnh đó, PV Gas cũng đang phối hợp với AES triển khai Kho LNG Sơn Mỹ (Bình Thuận) có vốn đầu tư hơn 32.000 tỷ đồng, công suất giai đoạn 1 khoảng 3,6 triệu tấn/năm, dự kiến hoạt động sau năm 2027.

Trong bức tranh tổng thể, Thị Vải được xem là cửa ngõ LNG của khu vực Đông Nam Bộ, còn Vũng Áng sẽ đóng vai trò trung tâm cung ứng khí hóa lỏng cho Bắc Trung Bộ và hỗ trợ cân đối nguồn cung cho miền Bắc.
Về kết quả kinh doanh, 6 tháng đầu năm 2025, PV Gas ghi nhận doanh thu thuần đạt gần 55.756 tỷ đồng, tăng hơn 4% so với cùng kỳ và lợi nhuận sau thuế đạt hơn 7.571 tỷ đồng, tăng 27%.
Về kết quả kinh doanh, 6 tháng đầu năm 2025, PV Gas ghi nhận doanh thu thuần đạt gần 55.756 tỷ đồng, tăng hơn 4% so với cùng kỳ và lợi nhuận sau thuế đạt hơn 7.571 tỷ đồng, tăng 27%.",0.21271074,0.786450614,0.000838666,2025-09-22,neutral
2025-09-15 00:00:00,PVG: Nghị quyết HĐQT thông qua nội dung chính hợp đồng thuê vỏ chai LPG,https://cafef.vn/du-lieu/GAS-2296600/pvg-nghi-quyet-hdqt-thong-qua-noi-dung-chinh-hop-dong-thue-vo-chai-lpg.chn,,0.001084767,0.941302896,0.057612374,2025-09-15,neutral
